TheBrain 热键,PERSONAL_BRAIN_HOT_KEY,Alt+Ctrl+Z
新建思维导图(N),MAINMENU_FILE_NEW_BRAIN_TEXT,Ctrl+N
打开思维导图(O),MAINMENU_FILE_OPEN_BRAIN_TEXT,Ctrl+O
打印中心画面(P),MAINMENU_FILE_PRINT_TEXT,Ctrl+P
粘贴到中心画面,MAINMENU_EDIT_PASTE_TEXT,Ctrl+Shift+V
逐层扩展选集(w),MAINMENU_EDIT_ADD_CONNECTED_TO_SELECTION_TEXT,Alt+Ctrl+W
想法类型(T),MAINMENU_THOUGHT_THOUGHT_TYPE_TEXT,Ctrl+Shift+T
新建子想法(C),MAINMENU_THOUGHT_CREATE_CHILD_TEXT,F6
新建母想法(P),MAINMENU_THOUGHT_CREATE_PARENT_TEXT,F7
新建跳跃想法(J),MAINMENU_THOUGHT_CREATE_JUMP_TEXT,F8
在当前想法下创建子想法,ADD_CHILD,INSERT
捕捉想法图标(u),MAINMENU_THOUGHT_CAPTURE_THOUGHT_ICON_TEXT,Ctrl+Shift+I
打开想法文件夹(F),MAINMENU_THOUGHT_OPEN_THOUGHT_FOLDER_TEXT,Ctrl+Shift+F
创建子想法副本(D),MAINMENU_EDIT_DUPLICATE_THOUGHT_TEXT,Ctrl+Shift+D
删除(e),MAINMENU_THOUGHT_DELETE_TEXT,Shift+DELETE
遗忘(g),MAINMENU_THOUGHT_FORGET_TEXT,Ctrl+DELETE
重命名/编辑(R),MAINMENU_THOUGHT_RENAME_TEXT,F2
普通(N),MAINMENU_VIEW_NORMAL_TEXT,Ctrl+Shift+1
大纲(O),MAINMENU_VIEW_OUTLINE_TEXT,Ctrl+Shift+2
最近展开(L),MAINMENU_VIEW_LAST_EXPANDED_TEXT,Ctrl+Shift+3
新建扩展视图(N),MAINMENU_VIEW_NEW_EXPANDED_TEXT,Ctrl+Shift+4
全部扩展(x),MAINMENU_VIEW_EXPAND_ALL_TEXT,Ctrl+EQUALS
全部折叠(C),MAINMENU_VIEW_COLLAPSE_ALL_TEXT,Ctrl+MINUS
网络搜索(S),MAINMENU_OPTIONS_WEB_SEARCH_TEXT,F4
演示模式(M),MAINMENU_VIEW_PRESENTATION_MODE_TEXT,Ctrl+Shift+P
入门指南(S),MAINMENU_HELP_GETTING_STARTED_TEXT,F1
后退,MAINTOOLBAR_BUTTON_BACK_TEXT,Alt+LEFT
前进,MAINTOOLBAR_BUTTON_FORWARD_TEXT,Alt+RIGHT
主页,MAINTOOLBAR_BUTTON_HOME_TEXT,HOME
操作焦点移至中心画面(即时激活),FOCUS_PLEX,F3
操作焦点移至工具 > 备注,FOCUS_NOTES,Ctrl+T
操作焦点移至工具 >属性和附件,FOCUS_PA,Ctrl+R
画面 > 扩放至最大,MAXIMIZE_PLEX,Ctrl+BACK_QUOTE
画面 > Pin 1,ACCELERATOR_PIN1,Ctrl+1
画面 > Pin 2,ACCELERATOR_PIN2,Ctrl+2
画面 > Pin 3,ACCELERATOR_PIN3,Ctrl+3
画面 > Pin 4,ACCELERATOR_PIN4,Ctrl+4
画面 > Pin 5,ACCELERATOR_PIN5,Ctrl+5
画面 > Pin 6,ACCELERATOR_PIN6,Ctrl+6
画面 > Pin 7,ACCELERATOR_PIN7,Ctrl+7
画面 > Pin 8,ACCELERATOR_PIN8,Ctrl+8
画面 > Pin 9,ACCELERATOR_PIN9,Ctrl+9
画面 > Pin 10,ACCELERATOR_PIN10,Ctrl+0
搜索>高级,SEARCH_ADVANCED,F9
↑朝上箭头,NAVIGATE_UP,UP
↓朝下箭头,NAVIGATE_DOWN,DOWN
←朝左箭头,NAVIGATE_LEFT,LEFT
→朝右箭头,NAVIGATE_RIGHT,RIGHT
在大纲视图中展开/折叠想法,EXPAND_COLLAPSE_THOUGHT,SPACE
遗忘/删除高显的想法或者链接,FORGET_DELETE_THOUGHT,DELETE
激活想法,ACCELERATOR_ACTIVATE_THOUGHT,ENTER
打开/添加附件,ACCELERATOR_OPEN_OR_ADD_ATTACHMENT,Shift+ENTER
